"x [nm]","y [nm]","?x [nm]","?y [nm]","sigma_x","sigma_y","del_sigma_x","del_sigma_y","t"
36097.75468,15515.1485,8.17974,10.49323,92.99133,120.05077,8.93762,11.48943,2382.15333
35527.54602,15153.20542,3.55129,3.76281,107.57675,113.98511,3.3816,3.58519,3394.96398
35527.25665,15161.49385,8.09118,7.49498,93.61228,86.75722,8.49461,7.98205,6606.21384
35428.3817,14929.41517,10.88016,25.05772,94.45973,206.99222,13.21986,28.99332,8182.27703
36049.25417,15531.7363,10.60513,21.05359,114.30691,221.12126,13.61844,25.06701,8533.67366
36146.12129,15441.90518,4.83644,6.45357,114.70205,153.01839,4.96808,6.57049,10257.44729
35461.23936,15090.99802,16.31536,29.88848,71.0563,117.35068,20.4628,36.66795,11820.53997
36012.49565,15218.55499,4.87912,6.05394,106.69618,132.38232,4.75571,5.88312,13733.93933
36090.44572,15637.32171,4.77648,7.47437,95.73248,149.73006,4.62737,7.20778,15442.89466
35992.99025,15295.04683,8.0492,10.47818,92.73052,120.70493,8.22615,10.68366,17685.07268
36076.96645,15632.86083,8.85685,11.38335,72.26593,92.97931,8.61787,11.10389,19552.25089
35413.17983,15008.41603,6.11393,8.67581,108.87083,154.45959,6.32329,8.9306,19862.54919
36092.13407,15595.75404,14.05134,16.29503,68.44695,80.67236,15.05753,18.30281,20681.02326
35495.75307,15122.88393,5.58364,6.81207,105.19004,128.33915,5.76118,7.03175,23202.58543
36093.97553,15564.45605,8.58329,12.40269,116.45738,166.69681,10.15798,13.94426,24167.16848
36115.5214,15537.73458,9.57102,13.53897,67.24704,95.12149,9.61384,13.55176,24637.56867
35447.39552,15077.90182,4.95396,6.7512,86.13138,117.37805,4.84963,6.60086,28587.1802
36002.46172,15194.40434,5.38305,6.9931,101.14745,131.35952,5.39322,6.93922,29594.14739
36007.60404,15408.08614,7.62323,9.94801,96.52227,126.23906,7.56495,9.94279,30500.10004
35492.53608,15073.19731,8.32699,8.22702,93.59518,92.49705,8.25427,8.19288,31757.75584
36062.39496,15630.27852,5.80699,8.36894,86.68261,124.92482,5.84493,8.41271,31851.85478
36029.16836,15225.16102,16.42021,15.74196,103.73596,99.57629,17.45386,16.86498,40409.85672
36042.29133,15211.74748,4.98341,6.60666,121.93214,161.55016,5.04902,6.61085,40921.90035
35940.0146,15319.96081,12.19661,14.37891,95.31675,123.74467,15.02448,17.39356,42026.56175
35965.14989,15274.37638,4.45122,6.14746,97.85824,135.22769,4.38389,6.07808,44528.08341
35457.16473,15066.4852,5.64141,7.55457,100.49498,134.79151,5.80009,7.82156,45828.86741
36101.61208,15590.22438,7.37688,9.30951,94.97141,119.84836,7.26793,9.15789,49263.94534
36068.97069,15541.27283,12.36241,13.7,100.2397,111.1259,12.76726,14.32236,51671.28775
36032.85297,15261.71779,20.99119,8.63097,80.3105,27.67068,19.82309,7.38249,53982.10021
36104.42956,15447.98016,15.95402,27.02776,86.00808,136.72071,30.00083,45.15737,56560.43978
35428.65909,15002.90082,5.26546,7.5292,89.86413,128.49061,5.15156,7.33683,57073.52342
35529.11989,15111.023,9.60211,13.04302,101.3236,137.61078,10.44699,14.07169,64175.58333
36112.10627,15467.48811,12.65053,19.96909,100.61938,158.52688,15.9354,24.61489,64251.27041
35439.79652,15089.27529,8.00657,12.08948,34.41141,51.57459,6.57021,11.25846,67287.57645
35469.24302,15051.72235,7.10768,8.56684,87.4727,105.45109,7.30094,8.86433,69753.95202
35439.94416,14995.78398,6.24549,11.01666,73.76644,130.05289,6.18658,10.82127,71061.16069
36127.03393,15484.66775,9.8804,13.05018,82.26715,101.32358,10.15944,13.93022,75056.25857
35462.18231,15055.72768,5.21536,6.4297,108.25588,133.51582,5.2155,6.44657,76511.39507
35365.62561,14926.74375,15.82903,12.14492,58.49798,45.50475,15.51458,11.94401,78307.40672
35951.63197,15379.34949,10.11038,9.77719,45.83582,44.47084,9.54295,9.36452,78360.75146
35460.26163,15063.90615,5.44747,7.15446,106.61911,139.97165,5.60568,7.2817,78459.35245
35968.04561,15306.47619,6.8888,10.07939,73.92461,108.16149,6.87806,10.05608,79266.58518
36045.94878,15607.75149,6.5535,8.40786,98.24458,125.92494,6.74024,8.5335,82602.79969
35057.78952,15980.26356,10.40501,27.88374,70.37259,127.83106,11.84276,29.66236,88086.17185
35058.11004,15984.52952,5.28878,6.38174,115.10775,138.93968,5.7518,6.95402,88314.46504
35061.49262,15939.25074,6.6486,7.9239,135.36288,161.23695,8.75605,10.29304,88541.27405
35517.0841,15120.03243,11.42306,13.24633,109.69892,127.202,14.19176,16.18084,89771.57998
36161.8921,15681.38567,9.83001,11.4976,38.34207,44.42342,9.22787,10.89396,90001.91714
35999.67476,15276.63883,7.54038,8.04947,90.10998,96.19476,7.42431,7.93629,98556.25173
35488.52542,15074.73821,6.34484,6.49237,99.68683,102.03133,6.12693,6.29333,98738.68161
35472.63259,15080.07154,6.56513,6.96968,96.01982,101.93665,6.38878,6.7825,99493.06192
35444.05735,15115.38454,13.49668,15.6591,72.46998,82.89306,14.92303,16.90857,99985.22091
36123.35483,15671.68183,48.10382,14.77408,119.39284,60.59487,51.637,16.16612,99965.20564
36080.91831,15678.17629,8.78813,9.04727,95.26721,98.07447,8.86663,9.11361,102253.61769
36106.32185,15511.6578,5.27677,7.06018,127.00741,169.77314,5.59374,7.37489,102944.43772
36166.1266,15453.52703,5.9163,6.83035,112.67503,130.07481,5.97291,6.86815,104642.31559
35802.35895,14966.48226,7.77081,7.7746,107.26018,107.32042,7.65142,7.66143,105058.13206
36070.12759,15624.35001,5.79796,7.23515,102.06673,127.3561,5.78982,7.19333,105582.21497
36106.14447,15437.99861,10.28441,14.90462,95.62237,138.34572,11.69523,16.55621,108068.1444
35493.69559,15123.85054,21.12815,43.05732,98.20506,141.47409,48.92864,78.11127,108045.61968
36105.50957,15647.23686,16.50771,13.78825,112.43699,101.17565,18.82748,16.30236,109629.59592
35522.82337,15119.58479,8.88176,10.68266,81.4907,97.99027,9.16412,10.98187,113961.77003
35981.89703,15260.26307,5.0761,7.46218,95.968,140.97519,5.03822,7.33757,116802.413
35488.42696,15067.57768,7.1003,9.7324,98.87762,135.35989,8.67468,11.69423,119080.1682
35470.14844,15046.48676,15.07075,16.90487,86.38916,106.21403,18.42413,19.51674,120160.50778
36070.88027,15524.94948,5.77962,7.34447,114.48381,145.82507,5.93352,7.56482,120933.49363
35535.89755,15148.83193,5.76272,7.75837,86.07441,115.83998,5.81863,7.7546,128374.0697
35973.56417,15286.20203,4.82661,6.21336,99.61776,128.12595,4.91518,6.24624,128580.27384
35974.18543,15455.85075,25.20505,18.35141,100.16689,74.34652,27.07128,20.50633,128897.95168
36096.30261,15656.29095,5.29031,5.81973,121.42858,133.57448,5.3788,5.89509,130514.44443
35976.42574,15261.27456,8.04454,12.38396,88.88581,137.28639,8.86349,13.53522,131174.59618
35461.51016,15046.49845,5.85193,8.39968,92.98253,133.44249,6.05853,8.64674,131817.58151
35959.80665,15383.00608,6.65035,6.70896,98.37566,99.27183,6.75549,6.88508,132743.19592
36149.4442,15474.04623,8.67649,13.82054,84.03652,133.67659,8.84221,13.8529,132938.65175
36108.76466,15449.46926,5.90666,7.58718,121.69703,156.04401,6.39703,8.02322,135297.91952
36087.77306,15648.464,8.82331,10.81202,89.70342,109.75944,9.36814,11.36999,139024.27553
36088.5554,15530.08263,18.74785,30.32205,93.25335,142.75886,41.79323,60.14054,139647.61687
36126.07275,15459.61749,7.29493,9.50157,99.02459,128.97042,7.35278,9.53601,142189.30563
36090.53539,15642.86269,10.01199,10.92006,80.85259,88.13868,10.14144,11.04086,145515.39614
35544.37779,15131.8422,4.63711,6.2778,104.85606,141.8518,4.69393,6.28122,148114.38891
